Longitude,Latitude
-1.536293726,54.28403532
-1.321104695,54.46096483
-1.536959771,54.28490965
-1.321663536,54.46168694
-1.320999098,54.46082045
-1.321651255,54.46056348
-1.321573834,54.46058102
-1.321574725,54.4605271
-1.536765334,54.28444156
-1.5360418,54.28321651
-1.536726612,54.28378534
-1.322305927,54.46015374
-1.535453607,54.2822526
-1.321657494,54.46018605
-1.287339365,54.06808985
-1.536942904,54.28230326
-1.287231644,54.06813415
-1.53700026,54.28403803
-1.535797994,54.28577695
-1.535673181,54.28321509
-1.53185136,54.27890438
-1.535961169,54.28355771
-1.288890439,54.06674188
-1.568001257,54.3585045
-1.56903775,54.35797796
-1.288828557,54.06678645
-1.569099486,54.3579602
-1.569098922,54.35801413
-1.289029786,54.06663485
-1.289122531,54.06657248
-1.287262971,54.0680894
-1.535733911,54.28327823
-1.568813715,54.35733008
-1.289073473,54.06676093
-1.568952291,54.35732159
-1.536551812,54.28430593
-1.569738614,54.35717161
-1.321608224,54.46130019
-1.287177298,54.06773837
-1.569630907,54.35717123
-1.535621038,54.28238805
-1.569877095,54.3571721
-1.287177298,54.06773837
-1.535900136,54.28352153
-1.287069731,54.06777368
-1.534892516,54.28161234
-1.286946884,54.06780891
-1.321602281,54.46165964
-1.533813113,54.28062856
-1.286854595,54.06784431
-1.321616815,54.46171364
-1.320966464,54.46092811
-1.320965126,54.46100899
-1.313680607,54.46120152
-1.313171879,54.46118066
-1.311182348,54.46482712
-1.318204974,54.46465123
-1.286546708,54.0679773
-1.535763619,54.28336822
-1.535087424,54.28203549
-1.535891642,54.28291036
-1.53578837,54.28253249
-1.535612654,54.28313397
-1.286546708,54.0679773
-1.286638844,54.06795089
-1.285669334,54.07903603
-1.18186008,54.46971009
-1.537045734,54.28409213
-1.285668254,54.07909893
-1.285592302,54.07907152
-1.536484089,54.28349681
-1.535885079,54.28349451
-1.289948331,54.06653242
-1.29002411,54.06656881
-1.314159123,54.4694904
-1.535839507,54.2834494
-1.289962383,54.0666044
-1.320835707,54.46603208
-1.319866888,54.46863291
-1.288529627,54.07980794
-1.535955834,54.28540009
-1.303330106,54.47206173
-1.535986756,54.28538224
-1.28745887,54.21899323
-1.290834568,54.4665159
-1.292041052,54.46723296
-1.291995701,54.46717877
-1.292088109,54.4671883
-1.297625541,54.4663758
-1.289127252,54.47422585
-1.319813461,54.46068796
-1.316482051,54.47083365
-1.316404907,54.47083321
-1.316358771,54.47082397
-1.316296906,54.4708326
-1.316219763,54.47083217
-1.316142619,54.47083173
-1.316049897,54.47084019
-1.315988182,54.47083984
-1.31589546,54.47084831
-1.315818316,54.47084787
-1.315756751,54.47083853
-1.315710465,54.47083827
-1.315633321,54.47083784
-1.297582493,54.22069736
-1.305453179,54.22235173
-1.305484303,54.22232494
-1.305407624,54.2223245
-1.304272466,54.22233593
-1.303845479,54.22218967
-1.16190796,54.12238589
-1.296256979,54.21476684
-1.161478705,54.12470174
-1.153352276,54.12101382
-1.296115774,54.21495476
-1.15308131,54.1207962
-1.161368526,54.12485377
-1.147909909,54.12079567
-1.296019344,54.21521483
-1.294842847,54.21586405
-1.401730734,54.32806534
-1.294518701,54.21598797
-1.400315886,54.32596427
-1.403224017,54.32475641
-1.294333014,54.21608575
-1.394798534,54.32474143
-1.386094619,54.3207071
-1.36924602,54.31359213
-1.365900778,54.30722054
-1.366033383,54.30659212
-1.397113324,54.3210053
-1.294146867,54.21621049
-1.293942473,54.21650588
-1.293803244,54.21657696
-1.293603139,54.21662073
-1.293477862,54.21677278
-1.293230681,54.21687918
-1.292810374,54.21724521
-1.292732937,54.21728969
-1.29256242,54.21739654
-1.292485136,54.21743204
-1.291959169,54.21769858
-1.291773775,54.21777837
-1.291419706,54.21785718
-1.291126971,54.21793635
-1.291349755,54.21836007
-1.290880238,54.21801579
-1.290003412,54.2181724
-1.289817551,54.21827916
-1.289063082,54.21845446
-1.288769722,54.21856957
-1.288522826,54.21865799
-1.379453712,54.32168871
-1.383312766,54.32682228
-1.384845881,54.32609314
-1.288259359,54.21881821
-1.28810555,54.21884426
-1.28778167,54.2189502
-1.287597191,54.21897607
-1.286780897,54.21917796
-1.358165235,54.31445941
-1.361538153,54.31602312
-1.286549948,54.21923052
-1.358149724,54.31446831
-1.369694896,54.31540093
-1.368903593,54.31487553
-1.286118872,54.21932683
-1.359412528,54.31728806
-1.285735349,54.21933354
-1.358272069,54.324391
-1.359453898,54.31759385
-1.29552726,54.21439409
-1.295476369,54.21468139
-1.295227523,54.21488665
-1.295088148,54.21496673
-1.294915658,54.21519041
-1.294820904,54.21535163
-1.294617744,54.21557513
-1.294245608,54.21581561
-1.294137048,54.21588688
-1.293904594,54.21602932
-1.293796187,54.21609159
-1.148671314,54.1314246
-1.293101421,54.21636614
-1.146919935,54.13771262
-1.158577817,54.13722841
-1.292915116,54.21649986
-1.154417772,54.13030567
-1.158777204,54.1304081
-1.158145841,54.13135639
-1.158034355,54.13232629
-1.158447343,54.13384811
-1.292806245,54.21658909
-1.13862589,54.12285971
-1.130252396,54.12377919
-1.292710712,54.21679525
-1.140682959,54.12253288
-1.292664096,54.21683092
-1.292632815,54.21686669
-1.29253943,54.21694703
-1.292383941,54.21707194
-1.292184447,54.21707976
-1.291983723,54.21715947
-1.171360161,54.12333211
-1.171389862,54.12337725
-1.171313368,54.12337672
-1.291843873,54.2172665
